Property ID,Locality name,Postal code,Price,Number of rooms,Living area (mÂ²)
Immoweb code : 20240478,Lierde,9570,398175,3 bedrooms,
Immoweb code : 20240433,Zulte Machelen,9870,399000,3 bedrooms,
Immoweb code : 20240694,Noorderwijk,2200,430000,3 bedrooms,
Immoweb code : 20239563,Bruxelles,1000,615000,3 - 4 bedrooms,
Immoweb code : 20239414,Ukkel,1180,774500,3 bedrooms,
Immoweb code : 20239506,Ixelles,1050,1200000,5 - 6 bedrooms,
Immoweb code : 20241273,FLEURUS,6220,315000,2 bedrooms,"100

                                    
                                                                                     
                                            square meters"
Immoweb code : 20240024,Averbode,3271,336500,4 bedrooms,
Immoweb code : 20236365,,,347400,4 bedrooms,
Immoweb code : 20236677,AALST,9300,349000,2 bedrooms,
Immoweb code : 20236132,Gavere,9890,365000,3 bedrooms,
Immoweb code : 20235803,Merendree,9850,370000,3 bedrooms,
Immoweb code : 20236252,Wetteren,9230,404500,3 - 4 bedrooms,
Immoweb code : 20239119,Noorderwijk,2200,430000,3 bedrooms,
Immoweb code : 20235883,Sint-Denijs-Westrem,9051,458000,4 bedrooms,
Immoweb code : 20235884,Gentbrugge,9050,467000,3 bedrooms,
Immoweb code : 20235186,BRUXELLES,1130,481000,4 bedrooms,
Immoweb code : 20235194,Machelen,1830,481000,4 bedrooms,
Immoweb code : 20235621,Gent,9000,498000,4 bedrooms,
Immoweb code : 20235882,Zwijnaarde,9052,679000,3 bedrooms,
Immoweb code : 20240496,Waregem,8790,299000,4 bedrooms,"354

                                    
                                                                                     
                                            square meters"
Immoweb code : 20239177,Elzele,7890,349000,3 bedrooms,"138

                                    
                                                                                     
                                            square meters"
Immoweb code : 20238847,Ronse,9600,349000,3 bedrooms,"138

                                    
                                                                                     
                                            square meters"
Immoweb code : 20233894,Deinze,9800,337000,3 bedrooms,
Immoweb code : 20232703,Waasmunster,9250,455000,3 bedrooms,
Immoweb code : 20232704,Oostduinkerke,8670,473000,3 bedrooms,
Immoweb code : 9397247,Brugge,8000,485000,4 bedrooms,
Immoweb code : 20235436,OLEN,2250,543000,3 bedrooms,
Immoweb code : 20236558,ANTWERPEN,2018,389900,3 bedrooms,"150

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236560,BORGERHOUT,2140,389900,3 bedrooms,"150

                                    
                                                                                     
                                            square meters"
Immoweb code : 20241001,ZELZATE,9060,369000,3 bedrooms,"149

                                    
                                                                                     
                                            square meters"
Immoweb code : 20231046,WAVRE,1300,225000,2 bedrooms,"110

                                    
                                                                                     
                                            square meters"
Immoweb code : 20233144,Oupeye,4680,139000,2 bedrooms,"122

                                    
                                                                                     
                                            square meters"
Immoweb code : 20229873,Oostrozebeke,8780,297000,3 bedrooms,
Immoweb code : 20229810,Meulebeke,8760,307649,3 bedrooms,
Immoweb code : 20229809,Lokeren,9160,399000,3 bedrooms,
Immoweb code : 20227789,Brussel,1000,615000,2 - 4 bedrooms,
Immoweb code : 20234460,KORTRIJK,8500,199000,4 bedrooms,"145

                                    
                                                                                     
                                            square meters"
Immoweb code : 20235479,KORTENBERG,3078,370000,5 bedrooms,"267

                                    
                                                                                     
                                            square meters"
Immoweb code : 20241534,Geraardsbergen,9500,267000,4 bedrooms,"156

                                    
                                                                                     
                                            square meters"
Immoweb code : 20240908,Aalst,9300,309000,4 bedrooms,"160

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236249,Gavere,9890,459000,3 bedrooms,"430

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236569,DESTELBERGEN,9070,574000,4 bedrooms,"170

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236282,Libramont-Chevigny,6800,589000,3 bedrooms,"280

                                    
                                                                                     
                                            square meters"
Immoweb code : 20235030,Kraainem,1950,595000,4 bedrooms,"350

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236655,Waterloo,1410,975000,7 bedrooms,"465

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236653,Braine-l'Alleud,1420,975000,7 bedrooms,"465

                                    
                                                                                     
                                            square meters"
Immoweb code : 20236654,Rhode-Saint-Genese,1640,975000,7 bedrooms,"465

                                    
                                                                                     
                                            square meters"
Immoweb code : 20216274,LEUVEN,3000,630000,2 bedrooms,"192

                                    
                                                                                     
                                            square meters"
Immoweb code : 20234452,HERENT,3020,295000,3 bedrooms,"116

                                    
                                                                                     
                                            square meters"
